company,rating,location,positionName,salary,url,jobType/0,searchInput/country,searchInput/position,externalApplyLink,clean_description
Google,4.3,"San Bruno, CA","Senior Data Scientist, Research, YouTube Search","$166,000 - $244,000 a year",https://www.indeed.com/viewjob?jk=3129ec5dde24f0d3,Full-time,US,Data Scientist,https://www.google.com/about/careers/applications/jobs/results/120863803960107718-senior-data-scientist/?src=Online/Job%20Board/indeed&utm_source=indeed&utm_medium=job-posting,note applying position opportunity share preferred working location following san bruno usa mountain view usa minimum qualification master degree statistic data science mathematics physic economics operation research engineering related quantitative field equivalent practical experience year experience using analytics solve product business problem coding python sql querying database statistical analysis year work experience phd degree preferred qualification year work experience using analytics solve product business problem coding python sql querying database statistical analysis year work experience phd degree job role develop statistical solution common problem faced youtube search role also involves participating experiment understand issue contributing foundational improvement data quality base salary range fulltime position bonus equity benefit salary range determined role level location within range individual pay determined work location additional factor including jobrelated skill experience relevant education training recruiter share specific salary range preferred location hiring process please note compensation detail listed role posting reflect base salary include bonus equity benefit learn benefit google responsibility collaborate stakeholder crossprojects team setting identify business product question answer provide feedback translate business question analysis evaluation metric mathematical model use custom data infrastructure existing data model design evaluate model mathematically express solve defined problem gather information business goal priority organizational context around question answer well existing upcoming data infrastructure process gathering extracting compiling data across source via tool sql python format restructure validate data ensure quality review dataset ensure ready analysis google proud equal opportunity workplace affirmative action employer committed equal employment opportunity regardless race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity veteran status also consider qualified applicant regardless criminal history consistent legal requirement see also google eeo policy eeo law disability special need requires accommodation please let know completing accommodation applicant form
BAXTER,3.7,"Milwaukee, WI 53214",Senior AI Engineer - Data Scientist,"$112,000 - $154,000 a year",https://www.indeed.com/viewjob?jk=19da1b85455c7081,Full-time,US,Data Scientist,https://jobs.baxter.com/en/job/-/-/152/82987889104,save sustain life baxter deeply connected mission matter role baxter work make positive impact people around world youll feel sense purpose throughout organization know work improves outcome million patient baxters product therapy found almost every hospital worldwide clinic home year pioneered significant medical innovation transform healthcare together create place happy successful inspire best work join intersection saving sustaining life purpose accelerates mission role baxter looking engineer data scientist grow tackle drive build data product support connected solution portfolio within baxter team role part innovation strategy data science team within digital platform innovation group responsible bringing data science machine learning idea life baxter youll responsible development implementation predictive modeling algorithm technique address unmet need customerbusiness problem optimize user experience conduct indepth research stay forefront advancement exploring opportunity integrate predictive generative model product service predictive generative modeling formulate problem statement hypothesis diverse business challenge clinical operational business process optimization problem create spark python code databricks retrieve data across disparate data source create new innovative actionable insight prepare data effective model training develop train evaluate predictive model using various tailored specific problem continuously refine optimize model performance scalability efficiency deploy model production environment supervise performance identify opportunity generative model add value explore experiment generative model gpt suitable chosen application train evaluate generative model finetuning parameter desired output integrate generative model production workflow application work datasets varying degree size complexity including structured unstructured data implement batch realtime model scoring drive action develop sophisticated visualization analysis output various user determines continuous improvement opportunity current predictive modeling algorithm innovate engage key technology stakeholder create compelling vision datadriven enterprise environment impact team project outcome youll bring bachelor degree stem science technology engineering math related field similar quantitative analytics field year professional experience variety data product data science model algorithm development implementing production software development experience experience healthcare data working hipaa regulated environment preferred experience varying database structure large datasets preferred experience modern data science tool primary stack spark scala python databricks experience microsoft azure cloud environment preferred proficiency developing data visualization technology capability power tableau brings drive creatively applying pragmatic scalable approach machine learning tackle difficult problem affecting patient provider passionate working highperformance team toward multiyear vision incremental deliverable entrepreneurial selfstarter curious technology business driven delivering enduser value impact understand compensation important factor consider next step career baxter committed equitable pay employee strive transparent pay practice estimated base salary position annually estimated range meant reflect anticipated salary range position may pay less anticipated range based upon market data factor subject change individual pay based upon location skill expertise experience relevant factor question pay philosophy available benefit please speak recruiter decide apply selected interview applicant must authorized work employer unable sponsor take sponsorship employment visa time benefit baxter except puerto rico wellbeing matter baxter offer comprehensive compensation benefit package eligible role health wellbeing benefit include medical dental coverage start day one well insurance coverage basic life accident shortterm longterm disability business travel accident insurance financial retirement benefit include employee stock purchase plan espp ability purchase company stock discount retirement saving plan rsp option employee contribution company matching also offer flexible spending account educational assistance program timeoff benefit paid holiday paid time ranging day based length service family medical leaf absence paid parental leave additional benefit include commuting benefit employee discount program employee assistance program eap childcare benefit join enjoy competitive compensation benefit offer employee additional information regarding baxter benefit please speak recruiter visit benefit site benefit baxter equal employment opportunity baxter equal opportunity employer baxter evaluates qualified applicant without regard race color religion gender national origin age sexual orientation gender identity expression protected veteran status disabilityhandicap status legally protected characteristic know right workplace discrimination illegal reasonable accommodation baxter committed working providing reasonable accommodation individual disability globally medical condition disability need reasonable accommodation part application interview process please click link let know nature request along contact information recruitment fraud notice baxter discovered incident employment scam fraudulent party pose baxter employee recruiter agent engage online job seeker attempt steal personal andor financial information learn protect review recruitment fraud notice
Meta,4.2,"Redmond, WA","Audio Software Engineer, Applied Scientist",$70.67 an hour,https://www.indeed.com/viewjob?jk=0b0b432e2a510629,Full-time,US,Data Scientist,https://www.metacareers.com/jobs/3101204833367519/,redmond morefull time messenger messenger instagram generative facebook artificial intelligence arvr research software engineering engineering machine learning research artificial intelligence meta building product revolutionize way people connect work play audio team forefront innovation developing cuttingedge technology redefine way experience sound virtual augmented world team dedicated creating considerate honest environment selfmotivated individual thrive encourage ownership creativity collaboration passionate making science fiction real join adventure member audio team youll part community thats shaping future sound connection together let invent future change world audio software engineer applied scientist responsibility collaborate team environment across multiple scientific engineering discipline making architectural tradeoff required rapidly deliver software solution create clean readable code debug complex problem prioritize ruthlessly get thing done high level efficiency learn constantly dive new area unfamiliar technology embrace ambiguity problem solving develop audio software variety consumer product device minimum qualification bachelor degree computer science computer engineering relevant technical field equivalent practical experience year software development experience industry setting phd year experience year relevant audio software engineering experience industry setting experience including use feature communication experience demonstrated experience working across discipline drive optimal solution preferred qualification expertise audio signal processing auditory perception classical machine learned technique experience audio stack including codecs audio capturerender network compensationjitter buffer proven track record innovation demonstrated product shipped publication andor patent experience genai live expect work california hired position meta meta build technology help people connect find community grow business facebook launched changed way people connect apps like messenger instagram whatsapp empowered billion around world meta moving beyond screen toward immersive experience like augmented virtual reality help build next evolution social technology people choose build career building meta help shape future take beyond digital connection make possible todaybeyond constraint screen limit distance even rule physic hour year bonus equity benefit individual compensation determined skill qualification experience location compensation detail listed posting reflect base hourly rate monthly rate annual salary include bonus equity sale incentive applicable addition base compensation meta offer benefit learn benefit meta equal employment opportunity meta proud equal employment opportunity employer discriminate based upon race religion color national origin sex including pregnancy childbirth reproductive health decision related medical condition sexual orientation gender identity gender expression age status protected veteran status individual disability genetic information political view activity applicable legally protected characteristic meta committed providing reasonable accommodation qualified individual disability disabled veteran job application procedure
Meta,4.2,"Bellevue, WA 98005","Software Engineer, Machine Learning","$203,350 - $240,240 a year",https://www.indeed.com/viewjob?jk=08d2ef77c9765e06,Full-time,US,Data Scientist,https://www.metacareers.com/jobs/1096352489054878/,bellevue full time meta software engineering engineering meta platform inc meta formerly known facebook inc build technology help people connect find community grow business facebook launched changed way people connect apps service like messenger instagram whatsapp empowered billion around world meta moving beyond screen toward immersive experience like augmented virtual reality help build next evolution social technology software engineer machine learning responsibility research design develop test operating systemslevel software compiler network distribution software massive social data prediction problem industryexperience working range ranking classification recommendation optimization problem payment fraud clickthrough conversion rate prediction clickfraud detection adsfeedsearch ranking textsentiment classification collaborative filteringrecommendation spam detection working problem moderate scope develop highly scalable system algorithm tool leveraging deep learning data regression rule based model suggest collect analyze synthesize requirement bottleneck technology system tool develop solution iterate order magnitude higher efficiency efficiently leverage order magnitude data explore stateoftheart deep learning technique receiving general instruction supervisor code deliverable tandem engineering team adapt standard machine learning method best exploit modern parallel environment distributed cluster multicore smp gpu minimum qualification requires master degree computer science computer software computer engineering applied science mechanical engineering mathematics physic related field threeyears work experience job offered computerrelated occupation requires three year experience following machine learning framework pytorch mxnet tensorflow machine learning recommendation system computer vision natural language processing data mining distributed system translating insight business recommendation hadoop hbase pig mapreduce sawzall bigtable spark developing debugging java scripting language perl python php shell script java python php haskell relational database sql software development tool code editor vim emacs revision control system subversion git perforce linux unix nixlike evidenced file manipulation advanced command shell scripting build highlyscalable performant solution data processing programming language database networking operating system computer graphic humancomputer interaction applying algorithm core computer science concept real world system evidenced recognizing matching pattern different area computer science production system distributed system live expect work california hired position meta meta build technology help people connect find community grow business facebook launched changed way people connect apps like messenger instagram whatsapp empowered billion around world meta moving beyond screen toward immersive experience like augmented virtual reality help build next evolution social technology people choose build career building meta help shape future take beyond digital connection make possible todaybeyond constraint screen limit distance even rule physic year year bonus equity benefit individual compensation determined skill qualification experience location compensation detail listed posting reflect base hourly rate monthly rate annual salary include bonus equity sale incentive applicable addition base compensation meta offer benefit learn benefit meta equal employment opportunity meta proud equal employment opportunity employer discriminate based upon race religion color national origin sex including pregnancy childbirth reproductive health decision related medical condition sexual orientation gender identity gender expression age status protected veteran status individual disability genetic information political view activity applicable legally protected characteristic meta committed providing reasonable accommodation qualified individual disability disabled veteran job application procedure
Lockheed Martin,4.0,"Shelton, CT 06484",AI / Machine Learning Research Engineer (early career),Not Disclosed,https://www.indeed.com/viewjob?jk=e9aad7dcc34e8466,Full-time,US,Data Scientist,https://click.appcast.io/t/V35efAz0-l7FWwo6IKeujipJNEqEaouuJQt7xtVf7tw=?Codes=IND&ittk=LUX73PPI2T,job date posted may descriptionthe lockheed martin artificial intelligence center laic team seeking high energy individual strong working knowledge software engineering artificial intelligence machine learning support applied team product portfolio focusing broad range project across laic team focused exploiting small innovative agile team rapidly iterate mature solution prototype deployment utilization across lockheed martin enterprise field customer selected candidate focus development technology product leverage artificial intelligence provide discriminating capability customer require engagement every phase system development lifecycle including requirement generation system software design implementation integration deployment activity focus low trl research proof concept development prototype testing translating research demonstrator expected support transition production integration deployment selected candidate expect utilize current paradigm including computer vision deep learning reinforcement learning applying technique solve complex problem field innovative solution whats onsite remote offer flexible work schedule comprehensive benefit investing future security learn lockheed martin comprehensive benefit package want part company culture empowers employee think big lead growth mindset make impossible reality provide resource give flexibility enable inspiration focus passion courage dream big work hard fun love want build better tomorrow must exhibit selfmotivation strong work ethic time management interpersonal skill team preference candidate based laic office shelton however may possible candidate work major facility remotely lmlaic basic qualification bachelor degree engineering computer science physic mathematics related discipline experience using machine learning framework experience python andor multiple library numpy pytorch opencv scikit panda etc familiarity modern computer vision autonomy research must citizen desired skill master degree engineering computer science physic mathematics related discipline experience modern computer vision experience applying research realworld problem published paper scientific related domain experience developing application linux experience devops tool docker git gitlab github continuous integration continuous deployment experience hardwareaccelerated computing cpu gpus cuda intel oneapi sycl experience model deployment software library stack nvidia tensorrt triton inference server onnxruntime experience deploying aienabled system multiple environment cloud edge device familiarity network programming socket programming tcp udp familiarity rust compiled language familiarity highperformance computing familiarity servicetoservice messaging grpc kafka activemq zeromq rabbitmq dd restful apis etc clearance level none important information know expression interest applying job expressing interest position could considered career opportunity similar skill requirement identified match match identified may contacted future opening ability work remotely parttime remote telework employee selected position work part work schedule remotely part work schedule designated lockheed martin facility specific weekly schedule discussed hiring process work schedule lockheed martin support variety alternate work schedule provide additional flexibility employee schedule range standard hour five day work week others may condensed condensed schedule provide employee additional time away office addition paid time benefit schedule position hour day day per week lockheed martin equal opportunity employer qualified candidate considered without regard legally protected characteristic application window close day applicant encouraged apply within day requisition posting date order receive optimal consideration join mission customer tackle hardest mission demand extraordinary amount courage resilience precision theyre dangerous critical sometimes even provide opportunity change world save life mission care leading technology innovation company vast team work partner around world bring proven performance customer toughest challenge employee based many state throughout internationally business location many nation territory experience level experienced professional business unit enterprise business service relocation available possible career area artificial intelligence type fulltime shift first
Google,4.3,"Cambridge, MA","Staff Data Scientist, Research, Search Platforms","$197,000 - $291,000 a year",https://www.indeed.com/viewjob?jk=a2da6b139ddd468d,Full-time,US,Data Scientist,https://www.google.com/about/careers/applications/jobs/results/93502620311659206-staff-data-scientist/?src=Online/Job%20Board/indeed&utm_source=indeed&utm_medium=job-posting,note applying position opportunity share preferred working location following mountain view usa cambridge usa minimum qualification master degree statistic data science mathematics physic economics operation research engineering related quantitative field year work experience using analytics solve product business problem coding python sql querying database statistical analysis year work experience phd degree preferred qualification year work experience using analytics solve product business problem coding python sql querying database statistical analysis year work experience phd degree job search platform data science team work understanding measuring search system including limited experiment reliability velocity latency capacity content log quality search infrastructurein google search reimagining mean search information way anywhere need solve complex engineering challenge expand infrastructure maintaining universally accessible useful experience people around world rely joining search team youll opportunity make impact billion people globally base salary range fulltime position bonus equity benefit salary range determined role level location within range individual pay determined work location additional factor including jobrelated skill experience relevant education training recruiter share specific salary range preferred location hiring process please note compensation detail listed role posting reflect base salary include bonus equity benefit learn benefit google responsibility collaborate stakeholder crossprojects team setting identify clarify business product question answer provide feedback translate refine business question analysis evaluation metric mathematical model use custom data infrastructure existing data model appropriate using specialized knowledge design evaluate model mathematically express solve defined problem limited precedent research develop analysis forecasting optimization method improve quality google userfacing product process gathering extracting compiling data across source via relevant tool sql python format restructure validate data ensure quality review dataset ensure ready analysis google proud equal opportunity workplace affirmative action employer committed equal employment opportunity regardless race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity veteran status also consider qualified applicant regardless criminal history consistent legal requirement see also google eeo policy eeo law disability special need requires accommodation please let know completing accommodation applicant form
JPMorganChase,3.9,"Jacksonville, FL 32256","Applied AI/ML, Senior Associate - Gen AI & LLM","$128,250 - $195,000 a year",https://www.indeed.com/viewjob?jk=4f4a812d435dcf98,Full-time,US,Data Scientist,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210636010?utm_medium=jobboard&utm_source=Indeed_Organic,job description leverage technical expertise shape innovative solution align capability solve realworld challenge applied aiml senior associate home lending modeling team youll primarily focus applying large language model llm generative genai different use case detailed technical documentation aiml llmgenai solution also engage traditional aiml model development documentation enhance organizational efficiency youll contribute building implementing testing analyzing mlai solution success depend ability understand data relationship use datadriven solution effectively document product strong communication skill essential collaborating key stakeholder across function line business job responsibility develop document innovative aiml model focus genai llm use case using outofthebox model execute aiml model development ensuring alignment organizational goal document use case technical solution apply outofthebox llm product address various business challenge create efficiency collaborate crossfunctional team identify opportunity aiml integration conduct experiment validate hypothesis ensure effectiveness aiml solution provide insight recommendation based data analysis model outcome required qualification capability skill year experience aiml development application degree related field data science computer science engineering similar stem discipline strong understanding genai llm technology application proficiency programming language python aiml model developmentdeployment experience aiml framework library ability translate complex technical concept clear documentation presentation strong problemsolving skill creative approach aiml application excellent communication skill collaboration stakeholder various level preferred qualification capability skill master degree relevant field experience applying aiml solution industry finance technology deep understanding traditional aiml technique well genaillm model chase leading financial service firm helping nearly half america household small business achieve financial goal broad range financial product mission create engaged lifelong relationship put customer heart everything also help small business nonprofit city grow delivering solution solve financial need offer competitive total reward package including base salary determined based role experience skill set location eligible role may receive commissionbased pay andor discretionary incentive compensation paid form cash andor forfeitable equity awarded recognition individual achievement contribution also offer range benefit program meet employee need based eligibility benefit include comprehensive health care coverage onsite health wellness center retirement saving plan backup childcare tuition reimbursement mental health support financial coaching additional detail total compensation benefit provided hiring process recognize people strength diverse talent bring global workforce directly linked success equal opportunity employer place high value diversity inclusion company discriminate basis protected attribute including race religion color national origin gender sexual orientation gender identity gender expression age marital veteran status pregnancy disability basis protected applicable law also make reasonable accommodation applicant employee religious practice belief well mental health physical disability need visit faq information requesting accommodation equal opportunity employerdisabilityveterans team consumer community banking division serf chase customer range financial service including personal banking credit card mortgage auto financing investment advice small business loan payment processing proud lead credit card sale deposit growth mostused digital solution ranking first customer satisfaction ccb data analytics team responsibly leverage data across chase build competitive advantage business providing value protection customer team encompasses variety discipline data governance strategy reporting data science machine learning strong partnership technology provides cutting edge data analytics infrastructure team power chase insight create best customer business outcome
Comcast Corporation,3.6,"San Francisco, CA 94108","Executive Director, ML and Ad Marketplace","$293,755.64 - $459,791.43 a year",https://www.indeed.com/viewjob?jk=4d0b39a9c4a90d09,Full-time,US,Data Scientist,https://jobs.comcast.com/job/-/-/45483/82995580848?source=ind_orga_at&jobPipeline=Indeed,universal ad part comcast enables brand size seamlessly make buy commercial across premium video reaching new qualified audience scale universal ad combine premium brandsafe video content directly influential medium company ease familiarity social buying onestop shop highquality video ad delivering performance unmatched scale job summary executive director marketplace play pivotal role shaping future ad marketplace universal ad technical product leader deep expertise data science machine learning auction dynamic data modeling develop execute vision optimize ad marketplace build rigor around data science among organization work direct impact improving advertiser performance monetization effort maintaining high quality consumer experience role requires strategic thinker strong technical background handson leader collaborate deliver result highly dynamic crossfunctional environment job description core responsibility develop oversee strategy related optimization ad marketplace including auction pricing mechanism supply expansion relevance targeting overall advertising effectiveness design implement operationalize advanced algorithm model improve marketplace efficiency optimize performance support diverse advertiser objective lead development integration machine learning model within universal ad exploring innovative application enhance marketplace analyze large set data uncover trend insight used improve product planning gotomarket effort business decision making work crossfunctionally engineering product marketing sale team drive alignment deliver impactful solution build product support various advertiser goal including novel bid ranking methodology balancing performance consumer experience serve subject matter expert machine learning artificial intelligence data science data modeling monetization marketplace initiative act crossfunctional advocate marketplace innovation ensuring strategic alignment across team stakeholder qualification year tech focus data science auction machine learning marketplace optimization advanced degree mathematics data science computer science related field strong background data science machine learning artificial intelligence modeling experience deploying algorithm production environment proficiency working largescale data processing complex data infrastructure proven ability lead influence crossfunctional team deliver highimpact result fastpaced environment excellent communication collaboration skill ability advocate technical solution nontechnical stakeholder employee level expected understand operating principle make guideline job customer experience think act way put customer first give seamless digital option every touchpoint make promoter product service know stuff enthusiastic learner user advocate gamechanging technology product service especially digital tool experience win team make big thing happen working together open new idea active part net promoter system way working brings employee customer feedback company joining huddle making call back helping elevate opportunity better customer drive result growth respect promote inclusion diversity whats right customer investor community disclaimer information designed indicate general nature level work performed employee role designed contain interpreted comprehensive inventory duty responsibility qualification comcast proud equal opportunity workplace consider qualified applicant employment without regard race color religion age sex sexual orientation gender identity national origin disability veteran status genetic information basis protected applicable law comcast consider employment applicant arrest conviction record accordance requirement applicable law including san francisco fair chance ordinance los angeles fair chance initiative hiring ordinance los angeles county fair chance ordinance employer california fair chance act please note federal state local law regulation may restrict prohibit comcast hiring individual convicted certain crime additionally applicant criminal history may direct adverse negative relationship job duty position may result withdrawal conditional offer employment skill machine learning artificial intelligence data science salary primary location pay range additional range job performed new york new york city pay range comcast intends offer selected candidate base pay within range dependent jobrelated nondiscriminatory factor experience application window day date job posted unless number applicant requires close sooner later base pay one part total reward comcast provides compensate recognize employee work sale position eligible commission term applicable plan nonsales position eligible bonus additionally comcast provides bestinclass benefit eligible employee believe benefit connect support need matter help care matter thats provide array option expert guidance alwayson tool personalized meet need reality help support physically financially emotionally big milestone everyday life please visit compensation benefit summary career site detail education master degree possessing stated degree preferred comcast also may consider applicant hold combination coursework experience extensive related professional experience relevant work experience year
Riverside Research Institute,3.9,"Beavercreek, OH 45431",AI/ML Engineer,"$70,000 - $120,000 a year",https://www.indeed.com/viewjob?jk=c10581299f98361e,Full-time,US,Data Scientist,https://careers-riversideresearch.icims.com/jobs/3881/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,riverside overview riverside research independent national security nonprofit dedicated research development national interest provide highend technical service research development prototype solution country challenging technical problem riverside research opportunity require citizenship position overview riverside research seeking aiml engineer general background machine learning artificial intelligence exceptional customer interaction business development skill join dynamic growthfocused artificial intelligence machine learning lab lab performs research development focused providing solution defense intelligence community key member open innovation center research scientist execute well assist growing opportunity government research organization darpa iarpa service lab etc perform corporatewide independent research development ird effort artificial intelligence machine learning manage existing contract transition technology business unit aiml engineer work team member located dayton washington new york city boston office location position ideal someone strong foundation coding data analysis eager gain experience highimpact human performance research role receive mentorship team senior scientist expertise cognitive modeling machine learning physiology responsibility assist agile software development investigate resolve system software anomaly develop prototype aiml algorithm associated software tool using python pythontensorflow api train aiml model tune hyperparameters given dataset algorithm objective visualize hyperparameter optimization space tensorboard selection optimal parameter given parametric functional tensorflow model provide customized solution data quality control ensure accurate functional mapping aiml algorithm complex remote sensing datasets develop database organizing structured unstructured datasets apply machine learning general computer vision best practice method analyze exploit large complex remote sensing datasets variety remote sensing phenomenology keep sota practice aiml perform relevant implement new innovative idea machine learning highperformance computing solve longstanding remote sensing bigdata exploitation problem contribute adhere team standard reviewing unittesting code lead participate teamwide code review adhere standardized documentation practice duty assigned qualification required qualification bachelor master degree relevant field mathematics physic complex system related discipline proficiency python programming demonstrated experience scripting data analysis working scientific library handson experience data analysis simulation development including signal processing filtering artifact rejection timeseries alignment andor machine learning model development ability work collaboratively fastpaced research environment taking direction contributing technical insight clear written verbal communication skill especially documenting code process preliminary finding must able obtain maintain security clearance future desired qualification knowledge multimodal aiml data fusion including graph text signal timeseries modelling uncover hidden pattern heterogenous data knowledge complex dynamical system analysis network including ability detect coupling assess stability emergence cyberphysical architecture social system knowledge modelbased system engineering including sysml gcode cnc pipeline digital twin closedloop control autonomous platform knowledge largescale agent stochastic simulation including operational financial cognitive environment informed computational psychology sociology knowledge optimization prescriptive analytics redteam mindset including missionaware composition routing disruption algorithm real world hard soft constraint current secret higher security clearance global comp represents typical compensation range position based experience location factor closing statement riverside research institute notforprofit technologyoriented defense company service customer support staff overall mission riverside affirmative actionequal opportunity employer complies applicable federal state local law regarding recruitment hiring riverside offer comprehensive compensation benefit package employee riverside base employment decision solely technical experience qualification jobrelated criterion related organizational purpose notforprofit company without regard race color religion age sex marital status sexual orientation national origin physical mental disability veteran status status legally protected applicable federal state local law
Mayo Clinic,3.8,"Rochester, MN 55901",Senior Software Engineer - AI/ML,"$138,257.60 - $200,512.00 a year",https://www.indeed.com/viewjob?jk=1d95e664ac7e82e7,Full-time,US,Data Scientist,https://www.indeed.com/applystart?jk=1d95e664ac7e82e7&from=mobvj&mvj=1&asub=mob&mobvjtk=1ium5vo15gc25800&astse=26a32f15260eaa0a&assa=3921&params=mobvjtk=1ium5vo15gc25800&jk=1d95e664ac7e82e7,mayo clinic mayo clinic topranked specialty care provider according news world report work together put need patient first also dedicated employee investing competitive compensation comprehensive benefit plan take care family future continuing education advancement opportunity every turn build long successful career mayo clinic benefit highlight medical multiple plan option dental delta dental reimbursement account flexible coverage vision affordable plan national network pretax saving hsa fsas eligible expense retirement competitive retirement package secure future responsibility exciting time mayo clinic building trusted generative llmbased solution empower staff improve practice transform healthcare accelerate generative strategy forming cross functional team technical expert team responsible building trusted generative automation solution benefit patient worldwide providing temporary tigerteam effort accelerate key initiative expanding organization understanding llm technology development best practice knowledge asset code example accelerate effort others execution technical proof concept exploration providing consultation presentation sharing knowledge across mayo clinic technical nontechnical audience providing guidance across generative program workstreams technical expert fulltime remote position incumbent must live within united state mayo clinic sponsor transfer visa position including opt stem position responsibility leverage advanced machine learning technique including deep learning natural language processing computer vision large language model lead design development rigorous evaluation deployment foundational model healthcare application initial focus model used within cancer research practice domain apply scientific mindset strong experimental rigor full spectrum lifecycle ideation rapid prototyping robust production deployment leverage advanced technique aiml analyze vast amount diverse healthcare data including patient record medical imaging genomic information develop solution meet complex clinical need integrate smoothly clinical process special emphasis placed multimodal fusion technique derive deeper insight across various data source collaborate multidisciplinary team including clinical subject matter expert researcher support engineering implementation cuttingedge aiml solution develop robust machine learning pipeline support production process ensuring data integrity setting new benchmark safety effectiveness fairness clinical setting facilitate consistent automated software solution development release design testing maintenance tool framework associated mlops pipeline contribute implementing best practice standard model development evaluation methodology deployment within regulated healthcare environment provide mentorship guidance technical leadership junior engineer within enablement team fostering culture innovation scientific inquiry provide consultative service area expertise clinical work unit product team offering deep technical insight strategic advice address complex business problem serve expert advisor model aspect collaborating closely senior data scientist contribute developing new method technology advance stateoftheart healthcare including exploring novel architecture data fusion strategy codility test may required part candidate selection process qualification required qualification position include bachelor degree computer scienceengineering related field year experience noted associate degree computerscienceengineering related field year experience indepth knowledge software engineering experience coding application service highlevel language golang java etc basic knowledge related field demonstrated problem solving time management skill possesses strong technical aptitude designing implementing software solution experience modern application development framework knowledge professional software engineering practice best practice full software development life cycle including coding standard code review source control management build process testing operation deep handson technical expertise excellent verbal written communication skill experience agile software development technique preferred qualification position include master phd machine learning artificial intelligence computer science biomedical engineering related scientific field experience applying machine learning production healthcare environment highlighting understanding healthcare technology unique challenge experience implementation within cancer research practice domain preferred experience implementing mlops capability enterprise level focus reproducibility ethical practice skilled advanced aiml technique framework portfolio complex model development project project experience working cloud aiml service gcp vertex aws sagemaker azure largescale model deployment demonstrated leadership managing complex project navigate intricate project requirement deliver successful outcome proficiency fostering collaboration across diverse team effectively communicating complex technical concept nontechnical stakeholder including clinical research audience demonstrated expertise cloud infrastructure environment software development tool familiarity best practice data engineering data science engineering mlops community mentor lessexperienced team member coupled strong interpersonal communication time management skill deep knowledge healthcare domain including clinical workflow electronic health record medical terminology regulatory requirement industry standard familiarity system quality engineering best practice regulatory standard compliance framework ability adapt effectively different project scenario demonstrated experience leading technicalquantitative team regulated environment demonstrated experience creating risk management file verificationvalidation strategy digital health technology product within healthcare industry compensation detail year benefit eligible yes schedule full time hourspay period schedule detail monday friday weekend schedule needed international assignment site description reputation spread beyond minnesota root location today employee located three major campus phoenixscottsdale arizona jacksonville florida rochester minnesota mayo clinic health system campus throughout midwestern community international location mayo clinic location special place employee thrive work personal life learn unique mayo clinic campus offer best fit equal opportunity qualified applicant receive consideration employment without regard race color religion sex gender identity sexual orientation national origin protected veteran status disability status learn eoe law mayo clinic participates everify may provide social security administration necessary department homeland security information new employee form confirm work authorization recruiter ted keefe
